ist_kodas;data;gydytojo_ID;pirminiu_trukme;priimtu_pirm_skc;visas_priemimo_laikas;visu_pac_skc;nuo;iki;iraso_sukurimo_data
300025907;2021-05-19;205418973;180;12;360;24;14:00;20:00;2021-05-20 03:00
300025907;2021-05-19;146333680;150;10;300;20;15:00;20:00;2021-05-20 03:00
300025907;2021-05-19;1096442;180;12;360;24;09:00;15:00;2021-05-20 03:00
300025907;2021-05-19;1111329;180;12;360;24;13:00;19:00;2021-05-20 03:00
300025907;2021-05-19;1096151;180;12;360;24;13:00;19:00;2021-05-20 03:00
300025907;2021-05-19;90952;150;10;300;20;07:00;12:00;2021-05-20 03:00


































